date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:02:43	134605/134605	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:46%20GMT	https://phongtro123.com/phong-ban-cong-20m2-thoang-mat-gio-giac-tu-do-an-ninh-giam-them-500k-pr669850.html	D:/anhhome/phongtro123.com/phong-ban-cong-20m2-thoang-mat-gio-giac-tu-do-an-ninh-giam-them-500k-pr669850.html	(from https://phongtro123.com/)
16:02:44	137972/137972	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:47%20GMT	https://phongtro123.com/cho-thue-phong-tro-gac-may-lanh-ngay-duong-quang-ham-gia-chi-3tr5-pr669848.html	D:/anhhome/phongtro123.com/cho-thue-phong-tro-gac-may-lanh-ngay-duong-quang-ham-gia-chi-3tr5-pr669848.html	(from https://phongtro123.com/)
16:02:46	133894/133894	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:48%20GMT	https://phongtro123.com/cho-thue-can-ho-day-du-noi-that-thang-may-gia-cuc-ky-uu-dai-pr669847.html	D:/anhhome/phongtro123.com/cho-thue-can-ho-day-du-noi-that-thang-may-gia-cuc-ky-uu-dai-pr669847.html	(from https://phongtro123.com/)
16:02:48	156763/156763	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:49%20GMT	https://phongtro123.com/cho-thue-can-ho-dich-vu-quan-go-vap	D:/anhhome/phongtro123.com/cho-thue-can-ho-dich-vu-quan-go-vap.html	(from https://phongtro123.com/)
16:02:49	137068/137068	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:50%20GMT	https://phongtro123.com/phong-tro-moi-co-ban-cong-18m2-khu-dan-cu-linh-dong-thu-duc-pr669846.html	D:/anhhome/phongtro123.com/phong-tro-moi-co-ban-cong-18m2-khu-dan-cu-linh-dong-thu-duc-pr669846.html	(from https://phongtro123.com/)
16:02:50	148665/148665	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:52%20GMT	https://phongtro123.com/cho-thue-ch-tang-1-50m2-san-vuon-bt-1-ngu-gia-6t500-thang-pr669843.html	D:/anhhome/phongtro123.com/cho-thue-ch-tang-1-50m2-san-vuon-bt-1-ngu-gia-6t500-thang-pr669843.html	(from https://phongtro123.com/)
16:02:52	157787/157787	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:54%20GMT	https://phongtro123.com/cho-thue-can-ho-dich-vu-quan-ba-dinh	D:/anhhome/phongtro123.com/cho-thue-can-ho-dich-vu-quan-ba-dinh.html	(from https://phongtro123.com/)
16:02:53	132421/132421	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:54%20GMT	https://phongtro123.com/he-thong-ky-tuc-xa-sleepbox-thu-duc-gia-khuyen-mai-thang-dau-chi-700k-tuy-chi-nhanh-2-pr669842.html	D:/anhhome/phongtro123.com/he-thong-ky-tuc-xa-sleepbox-thu-duc-gia-khuyen-mai-thang-dau-chi-700k-tuy-chi-nhanh-2-pr669842.html	(from https://phongtro123.com/)
16:02:54	135183/135183	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:57%20GMT	https://phongtro123.com/phong-tro-co-gac-gia-re-ngay-cau-kinh-thanh-da-gia-chi-2tr8-pr669839.html	D:/anhhome/phongtro123.com/phong-tro-co-gac-gia-re-ngay-cau-kinh-thanh-da-gia-chi-2tr8-pr669839.html	(from https://phongtro123.com/)
16:02:55	123525/123525	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:58%20GMT	https://phongtro123.com/chung-cu-ruby-garden-nguyen-sy-sach-tb-2pn-ngu-2wc-11tr-98m2-pr669838.html	D:/anhhome/phongtro123.com/chung-cu-ruby-garden-nguyen-sy-sach-tb-2pn-ngu-2wc-11tr-98m2-pr669838.html	(from https://phongtro123.com/)
